Focalisation théorique,Focalisation calculée en x,Focalisation calculée en y,Résolution axiale,Distance inter-focus
"-4,10E-05","4,61E-05","5,94E-05","8,60E-05","1,33E-05"
"-0,00004","4,53E-05","5,80E-05","0,00009","1,27E-05"
"-3,90E-05","4,44E-05","5,65E-05","9,40E-05","1,21E-05"
"-3,80E-05","4,35E-05","5,51E-05","9,80E-05","1,15E-05"
"-3,70E-05","4,26E-05","5,36E-05","0,000102","1,10E-05"
"-3,60E-05","4,17E-05","5,21E-05","0,000106","1,04E-05"
"-3,50E-05","4,08E-05","5,07E-05","0,00011","9,93E-06"
"-3,40E-05","3,99E-05","4,93E-05","0,000114","9,41E-06"
"-3,30E-05","3,89E-05","4,78E-05","0,000118","8,89E-06"
"-3,20E-05","3,80E-05","4,64E-05","0,000122","8,39E-06"
"-3,10E-05","3,71E-05","4,49E-05","0,000126","7,88E-06"
"-0,00003","3,61E-05","4,35E-05","0,00013","7,39E-06"
"-2,90E-05","3,51E-05","4,20E-05","0,000134","6,91E-06"
"-2,80E-05","3,41E-05","4,06E-05","0,000138","6,47E-06"
"-2,70E-05","3,31E-05","3,91E-05","0,000142","6,04E-06"
"-2,60E-05","3,21E-05","3,77E-05","0,000146","5,61E-06"
"-2,50E-05","3,10E-05","3,62E-05","0,00015","5,20E-06"
"-2,40E-05","3,00E-05","3,48E-05","0,000154","4,76E-06"
"-2,30E-05","2,90E-05","3,33E-05","0,000158","4,35E-06"
"-2,20E-05","2,78E-05","3,18E-05","0,000162","4,00E-06"
"-2,10E-05","2,68E-05","3,05E-05","0,000166","3,63E-06"
"-0,00002","2,57E-05","2,90E-05","0,00017","3,24E-06"
"-1,90E-05","2,46E-05","2,75E-05","0,000174","2,94E-06"
"-1,80E-05","2,35E-05","2,60E-05","0,000178","2,56E-06"
"-1,70E-05","2,24E-05","2,46E-05","0,000182","2,28E-06"
"-1,60E-05","2,12E-05","2,31E-05","0,000186","1,98E-06"
"-1,50E-05","2,01E-05","2,18E-05","0,00019","1,72E-06"
"-1,40E-05","1,89E-05","2,03E-05","0,000194","1,46E-06"
"-1,30E-05","1,76E-05","1,88E-05","0,000198","1,18E-06"
"-1,20E-05","1,64E-05","1,74E-05","0,000202","9,47E-07"
"-1,10E-05","1,53E-05","1,60E-05","0,000206","7,08E-07"
"-0,00001","1,39E-05","1,44E-05","0,00021","5,25E-07"
"-0,000009","1,28E-05","1,30E-05","0,000214","2,68E-07"
"-0,000008","1,14E-05","1,15E-05","0,000218","1,36E-07"
"-0,000007","1,01E-05","1,01E-05","0,000222",0
"-0,000006","8,83E-06","8,69E-06","0,000226","1,41E-07"
"-0,000005","7,55E-06","7,26E-06","0,00023","2,88E-07"
"-0,000004","6,22E-06","5,78E-06","0,000234","4,39E-07"
"-0,000003","4,76E-06","4,31E-06","0,000238","4,46E-07"
"-0,000002","3,33E-06","2,80E-06","0,000242","5,29E-07"
"-0,000001","2,00E-06","1,46E-06","0,000246","5,38E-07"
0,"5,47E-07",0,"0,00025","5,47E-07"
